Symbol;PriceChangePercentile
FSTN;9.68175500
FSTO;6.75000000
FSTP;8.80000000
FSTQ;10.52574200
FSTR;11.20963100
FSTS;11.32613100
FSTT;6.75000000
FSTU;7.61197800
FSTV;12.39811500
FSTW;8.80000000
FSTX;6.75000000
FSTY;11.37721500
FSTZ;7.73436800
FSUD;3.43874300
FSUS;8.99661800
FSWL;2.66270100
FSWM;1.85799500
FSWS;0.82783500
FSWX;5.22713900
FSXE;8.42447700
FTDD;8.80000000
FTDX;9.17325600
FTE;113.79501500
FTE1;328.40774200
FTE2;277.55855000
FTE4;355.54305900
FTE5;228.50621600
FTEE;130.51584500
FTEG;6.88500000
FTEQ;6.88500000
FTKF;19.08499500
FTSF;8.80000000
FTUK;8.80000000
FUAA;8.62511200
FUAL;7.77358600
FUAM;8.74054400
FUAQ;8.30967600
FUAS;8.84341900
FUAV;8.74563500
FUGH;13.01529500
FVS;10.98592600
FWPD;8.80000000
FXFC;6.96992500
FXFM;7.49838400
FXFQ;7.17790600
FXFR;6.75000000
FXFS;8.05380000
FXFV;7.70231300
FXGL;7.92000000
FXXE;7.99797900
FXXP;8.17147600
FXXS;8.80000000
G1A;806.45983900
G1AF;10.51941200
G24;48.25165300
G24F;10.68411200
G2AL;17845.05000900
G2AN;33939.43322100
G2EB;391453.85324000
G2EC;8.66702400
G2IV;3039425.99421900
G2LE;8.80000000
G2LP;1503392.33333300
G2OB;61701.29253100
G2SF;2.98993800
G2TQ;87726.36716000
G2ZF;1.11166100
G3LE;8.80000000
G3ZF;13917.99314000
G4SK;3.46363400
G5SK;3.44315200
GALF;11.74608300
GALN;99.27953100
GAM;493.50055800
GAMF;15.94951800
GAN;167.52798200
GANF;9.93615700
GANG;9.53315200
GANP;10.59239100
GASN;760.81557900
GBF;460.21977400
GBFH;14.08130800
GBRI;9.89426900
GBRP;8.80000000
GDG;79.40332100
GDGI;17.63777400
GEBN;153.77192600
GECF;11.41880900
GEW1;301.03750000
GEW2;258.04037800
GEW4;410.74848800
GEW5;181.09595700
GFAF;25.24485800
GFT;294.89530900
GI6A;6335.04148100
GI6G;12.00846900
GILF;7.92000000
GISF;7.92000000
GIVG;8.78379000
GIVN;194.13654300
GIVP;8.80000000
GLBF;10.79920500
GLDF;10.64693800
GLEG;12.65203700
GLEN;252.30041200
GLIF;18.53834600
GLPF;16.34283900
GLPG;237.22834900
GNS;312.96010300
GOAF;10.62270300
GOB;533.02696800
GOB1;1360.36712100
GOB2;983.52474000
GOB4;2299.15466600
GOB5;457.45972900
GOBG;12.02204400
GOBP;13.41502600
GOCF;10.65610700
GOSF;12.55400200
GRB;6678.91045300
GRBF;8.60306700
GSKB;141.14136300
GSKH;7.92000000
GSKI;7.92000000
GTQF;14.14119800
GTQP;15.71267400
GXI;424.60756700
GXIF;13.96286300
GYC;745.27431100
GYCF;14.03298200
GZF;146.48050700
GZF1;337.40003500
GZF2;277.65553600
GZF4;426.58762200
GZF5;186.80915400
GZFH;8.98736200
GZFQ;8.98736200
